,,,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Country","Data Source","Beverage Types","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010"
"Afghanistan","Data source","All types","0.01","0.01","0.01","0.01","0.00","0.01","0.01","0.01","0.01","0.02"
"Albania","Data source","All types","4.40","4.44","4.39","4.38","4.33","4.10","4.28","4.43","5.03","4.88"
"Algeria","Data source","All types","0.59","0.59","0.58","0.58","0.55","0.54","0.50","0.43","0.40","0.35"
"Andorra","Data source","All types","","","","","","9.88","10.06","10.33","10.46","10.53"
"Andorra","Data source","All types","10.99","10.72","11.18","11.18","11.02","","","","",""
"Angola","Data source","All types","5.84","6.15","6.16","6.09","6.53","8.10","7.67","7.83","7.66","7.58"
"Antigua and Barbuda","Data source","All types","11.88","11.28","10.78","9.75","9.06","9.66","9.43","8.22","7.24","7.16"
"Argentina","Data source","All types","7.95","7.95","8.29","8.38","8.49","7.93","8.27","8.00","7.69","8.15"
"Armenia","Data source","All types","3.77","3.69","3.83","3.83","4.04","4.22","3.92","3.89","4.07","4.23"
"Australia","Data source","All types","9.51","9.51","9.49","9.79","9.68","9.90","10.00","10.03","10.30","10.52"
"Austria","Data source","All types","11.90","11.60","11.60","11.70","11.60","12.40","12.10","12.10","11.90","12.10"
"Azerbaijan","Data source","All types","1.38","0.88","0.44","0.39","0.51","0.36","0.52","0.52","0.60","0.99"
"Bahamas","Data source","All types","9.48","9.30","9.32","9.30","9.27","9.22","9.23","9.37","9.23","9.21"
"Bahrain","Data source","All types","1.18","1.20","1.24","1.39","1.53","1.57","1.65","1.72","1.66","1.96"
"Bangladesh","Data source","All types","0.00","0.00","0.00","0.00","0.01","0.01","0.00","0.00","0.00","0.00"
"Barbados","Data source","All types","9.94","9.99","10.03","10.22","9.68","9.27","9.05","8.90","8.69","8.66"
"Belarus","Data source","All types","10.57","10.08","9.76","9.74","9.79","11.29","12.58","13.56","14.50","14.43"
"Belgium","Data source","All types","","","","","","10.57","10.33","10.09","10.14","10.27"
"Belgium","Data source","All types","9.15","9.22","9.30","9.42","10.36","","","","",""
"Belize","Data source","All types","","","","","","6.73","6.60","6.35","6.34","6.47"
"Belize","Data source","All types","5.93","5.95","6.09","6.50","6.71","","","","",""
"Benin","Data source","All types","1.25","1.26","1.35","1.44","1.53","1.53","1.43","1.41","1.47","1.35"
"Bhutan","Data source","All types","0.07","0.07","0.07","0.02","0.04","0.21","0.31","0.32","0.25","0.23"
"Bolivia (Plurinational State of)","Data source","All types","2.98","3.00","3.05","3.12","3.15","3.17","3.21","3.24","3.30","3.37"
"Bosnia and Herzegovina","Data source","All types","5.46","5.44","5.25","5.04","4.90","4.69","4.69","4.83","4.71","4.57"
"Botswana","Data source","All types","5.98","5.89","5.77","6.14","6.14","6.04","5.07","5.46","6.24","5.70"
"Brazil","Data source","All types","6.12","6.19","6.25","6.37","6.63","6.91","6.86","7.12","7.13","7.16"
"Brunei Darussalam","Data source","All types","0.69","0.69","0.69","0.67","0.67","0.67","0.69","0.96","0.91","0.25"
"Bulgaria","Data source","All types","11.18","11.53","10.93","11.13","10.89","10.30","10.32","10.88","9.88","9.82"
"Burkina Faso","Data source","All types","7.28","7.25","7.23","7.09","7.03","6.93","5.49","5.57","5.32","5.44"
"Burundi","Data source","All types","4.07","4.07","4.18","3.93","3.99","3.95","3.98","4.33","4.56","4.61"
"Cabo Verde","Data source","All types","4.70","4.90","5.06","4.89","4.54","4.31","3.73","4.93","5.09","4.93"
"Cambodia","Data source","All types","4.56","4.56","4.26","3.85","3.34","3.07","2.80","2.52","2.40","2.16"
"Cameroon","Data source","All types","4.09","4.10","4.15","4.15","4.55","4.70","6.56","6.42","5.90","5.88"
"Canada","Data source","All types","8.00","8.10","8.10","8.20","8.00","8.10","8.20","8.30","8.20","8.40"
"Central African Republic","Data source","All types","0.94","0.94","0.90","0.90","0.90","1.88","1.70","1.96","1.97","1.96"
"Chad","Data source","All types","0.55","0.55","0.58","0.64","0.66","0.68","0.65","0.63","0.60","0.55"
"Chile","Data source","All types","7.80","7.80","7.77","7.73","7.89","7.92","7.23","8.35","7.02","7.55"
"China","Data source","All types","4.48","4.77","5.25","5.63","5.66","5.65","5.62","5.52","5.36","5.75"
"Colombia","Data source","All types","4.09","4.21","4.20","4.46","4.16","4.22","4.32","4.37","4.30","4.22"
"Comoros","Data source","All types","0.18","0.18","0.18","0.15","0.14","","","","",""
"Comoros","Data source","All types","","","","","","0.13","0.23","0.11","0.11","0.13"
"Congo","Data source","All types","5.74","5.64","5.80","5.70","4.47","4.52","4.43","4.40","4.19","4.02"
"Cook Islands","Data source","All types","12.97","12.97","12.97","12.97","12.97","12.97","12.97","14.74","8.06","11.24"
"Costa Rica","Data source","All types","3.07","3.28","3.21","3.36","3.19","3.12","3.02","3.17","3.21","3.74"
"Côte d'Ivoire","Data source","All types","1.70","1.73","1.59","1.50","1.54","1.35","1.22","1.20","1.14","1.12"
"Croatia","Data source","All types","9.64","9.63","9.70","10.00","9.64","9.50","10.39","10.58","11.01","10.71"
"Cuba","Data source","All types","4.70","4.76","4.69","4.58","4.65","4.54","4.35","4.33","4.32","4.28"
"Cyprus","Data source","All types","9.59","9.59","9.59","9.59","9.59","9.63","9.07","10.58","10.71","11.33"
"Czechia","Data source","All types","12.73","12.73","12.73","12.92","12.76","12.75","12.54","12.83","12.56","12.68"
"Democratic People's Republic of Korea","Data source","All types","3.61","3.61","3.61","3.80","3.97","3.89","3.34","3.60","3.38","3.11"
"Democratic Republic of the Congo","Data source","All types","0.56","0.55","0.58","0.61","0.60","0.80","0.84","0.73","0.71","0.64"
"Denmark","Data source","All types","","","","","","9.55","9.44","9.23","10.45","10.27"
"Denmark","Data source","All types","9.16","9.32","9.30","9.51","9.42","","","","",""
"Djibouti","Data source","All types","0.21","0.25","0.28","0.32","0.32","0.32","0.36","0.41","0.39","0.48"
"Dominica","Data source","All types","6.32","6.32","6.75","7.00","7.16","7.03","9.69","9.61","9.65","9.79"
"Dominican Republic","Data source","All types","5.56","5.58","5.51","5.46","5.39","5.23","5.41","5.49","5.47","5.54"
"Ecuador","Data source","All types","3.05","3.03","2.89","3.14","3.69","3.81","3.78","3.92","3.99","3.97"
"Egypt","Data source","All types","0.14","0.14","0.13","0.15","0.18","0.19","0.19","0.19","0.19","0.21"
"El Salvador","Data source","All types","2.94","2.93","2.81","2.64","2.54","2.45","2.35","2.41","2.31","2.30"
"Equatorial Guinea","Data source","All types","6.11","6.03","5.99","7.31","8.11","8.64","8.95","9.79","9.38","8.96"
"Eritrea","Data source","All types","0.93","0.93","0.96","0.97","1.03","1.03","1.03","1.03","1.19","1.13"
"Estonia","Data source","All types","11.65","10.81","13.08","15.61","16.72","17.29","17.75","16.96","16.27","14.97"
"Eswatini","Data source","All types","7.68","7.68","7.65","7.64","7.49","7.28","7.36","6.49","6.89","6.49"
"Ethiopia","Data source","All types","1.16","1.13","1.03","0.94","0.76","0.65","0.57","0.54","0.45","0.40"
"Fiji","Data source","All types","2.71","2.70","2.64","2.64","2.63","2.67","2.53","2.43","2.31","2.42"
"Finland","Data source","All types","","","","","","8.76","9.08","9.27","9.81","9.72"
"Finland","Data source","All types","8.23","8.37","8.37","8.44","8.52","","","","",""
"France","Data source","All types","11.44","11.24","11.69","11.74","11.87","12.07","11.73","12.22","12.35","12.30"
"Gabon","Data source","All types","6.47","6.67","7.04","7.40","8.06","8.21","7.57","7.47","8.01","8.36"
"Gambia","Data source","All types","2.67","2.67","2.61","2.58","2.69","","","","",""
"Gambia","Data source","All types","","","","","","2.68","2.65","2.74","2.70","2.82"
"Georgia","Data source","All types","7.45","7.25","6.88","6.85","6.95","6.49","6.76","7.23","8.29","7.72"
"Germany","Data source","All types","10.56","10.88","10.86","10.96","11.06","11.07","11.08","11.32","11.33","11.58"
"Ghana","Data source","All types","1.59","1.62","1.68","1.63","1.75","1.83","1.78","1.72","1.67","1.60"
"Greece","Data source","All types","6.33","6.45","6.67","6.68","6.68","7.06","7.55","7.62","7.48","8.33"
"Grenada","Data source","All types","8.62","8.68","8.36","8.30","8.20","7.88","7.81","7.77","7.68","7.71"
