,,,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Guatemala","Data source","All types","1.63","1.63","1.61","1.60","1.65","1.69","1.83","1.91","2.05","2.03"
"Guinea","Data source","All types","0.33","0.33","0.34","0.36","0.38","0.32","0.25","0.24","0.24","0.20"
"Guinea-Bissau","Data source","All types","3.21","3.31","3.33","3.20","3.13","3.07","2.95","3.00","3.19","3.06"
"Guyana","Data source","All types","5.11","5.13","5.18","5.34","5.48","5.84","5.72","5.72","5.64","5.56"
"Haiti","Data source","All types","2.85","3.12","3.13","2.95","2.78","","","","",""
"Haiti","Data source","All types","","","","","","2.69","2.85","2.43","2.36","2.28"
"Honduras","Data source","All types","2.73","2.84","2.67","2.53","2.49","2.42","2.70","2.71","2.71","2.69"
"Hungary","Data source","All types","10.79","10.79","10.79","11.28","10.95","10.92","10.73","11.13","11.37","10.70"
"Iceland","Data source","All types","7.72","7.72","7.75","7.49","7.66","7.01","6.80","6.82","6.84","6.79"
"India","Data source","All types","3.09","3.04","2.85","2.96","3.00","3.00","3.03","3.04","2.95","2.73"
"Indonesia","Data source","All types","0.08","0.08","0.08","0.09","0.08","0.09","0.09","0.08","0.08","0.08"
"Iran (Islamic Republic of)","Data source","All types","0.02","0.03","0.03","0.02","0.01","0.01","0.01","0.02","0.03","0.03"
"Iraq","Data source","All types","0.16","0.17","0.17","0.16","0.16","0.15","0.16","0.17","0.18","0.16"
"Ireland","Data source","All types","10.91","11.15","11.13","11.30","10.81","10.88","10.51","11.38","11.49","11.57"
"Israel","Data source","All types","3.07","3.04","2.91","2.72","2.74","2.71","2.90","2.89","2.81","2.78"
"Italy","Data source","All types","","","","","","7.56","7.35","7.48","6.98","6.95"
"Italy","Data source","All types","7.65","7.81","7.37","7.10","7.14","","","","",""
"Jamaica","Data source","All types","3.46","3.53","3.45","3.29","3.27","3.20","3.16","3.02","2.99","2.94"
"Japan","Data source","All types","8.36","8.81","8.74","8.59","8.55","8.40","8.65","8.50","8.41","8.28"
"Jordan","Data source","All types","0.25","0.26","0.28","0.30","0.30","0.35","0.35","0.36","0.38","0.46"
"Kazakhstan","Data source","All types","3.73","4.16","3.68","3.58","3.33","3.64","3.80","3.73","3.41","3.94"
"Kenya","Data source","All types","1.68","1.70","1.73","1.68","1.65","1.45","1.53","1.49","1.47","1.52"
"Kiribati","Data source","All types","0.43","0.43","0.43","0.44","0.35","0.33","0.73","0.38","0.54","0.49"
"Kuwait","Data source","All types","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Kyrgyzstan","Data source","All types","4.02","4.42","4.87","5.32","5.37","6.18","6.03","5.98","5.95","6.02"
"Lao People's Democratic Republic","Data source","All types","8.15","8.16","8.07","7.61","7.09","6.74","6.25","6.33","6.30","6.10"
"Latvia","Data source","All types","12.90","13.20","12.60","11.30","10.80","10.60","10.43","10.20","10.11","9.83"
"Lebanon","Data source","All types","1.14","1.21","1.19","1.18","1.15","1.18","1.18","1.24","1.30","1.37"
"Lesotho","Data source","All types","3.56","3.40","2.93","2.95","3.07","2.75","2.55","2.47","2.38","2.75"
"Liberia","Data source","All types","3.12","2.97","2.83","2.81","3.18","3.02","3.74","3.75","3.73","3.65"
"Libya","Data source","All types","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.00"
"Lithuania","Data source","All types","11.93","11.77","12.14","13.47","14.20","14.90","14.92","14.97","14.76","13.22"
"Luxembourg","Data source","All types","11.00","10.98","11.18","11.25","11.37","11.42","11.25","11.67","11.74","11.84"
"Madagascar","Data source","All types","0.89","0.89","0.89","0.88","0.86","0.87","0.85","0.85","0.89","0.96"
"Malawi","Data source","All types","2.04","2.04","2.06","2.04","2.04","2.01","2.02","1.87","1.88","1.69"
"Malaysia","Data source","All types","0.64","0.66","0.65","0.61","0.55","0.54","0.55","0.55","0.54","0.52"
"Maldives","Data source","All types","1.38","1.44","1.29","1.23","1.26","1.30","1.16","1.23","1.69","1.58"
"Mali","Data source","All types","0.60","0.61","0.61","0.61","0.62","0.61","0.58","0.61","0.62","0.60"
"Malta","Data source","All types","8.07","7.95","7.91","7.59","7.37","7.14","7.32","7.18","6.89","6.99"
"Mauritania","Data source","All types","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Mauritius","Data source","All types","3.39","3.44","3.35","3.51","2.83","3.06","3.17","3.17","3.36","3.15"
"Mexico","Data source","All types","4.25","4.25","4.25","4.25","4.24","3.94","3.81","3.86","4.00","4.05"
"Micronesia (Federated States of)","Data source","All types","1.59","1.59","1.59","1.59","1.59","1.51","1.60","2.89","1.87","1.75"
"Mongolia","Data source","All types","5.46","5.73","6.19","6.85","8.35","9.88","12.58","7.53","6.65","7.73"
"Montenegro","Data source","All types","9.91","9.87","9.56","9.13","8.49","8.55","9.62","9.37","9.02","9.94"
"Morocco","Data source","All types","0.51","0.47","0.43","0.40","0.39","0.41","0.46","0.46","0.46","0.47"
"Mozambique","Data source","All types","1.46","1.46","1.44","1.38","1.22","1.08","1.00","0.97","0.89","0.79"
"Myanmar","Data source","All types","2.06","1.85","1.77","1.61","1.47","1.36","1.31","1.24","1.09","0.97"
"Namibia","Data source","All types","2.38","2.54","2.62","2.67","2.63","2.59","2.45","2.37","1.59","1.40"
"Nauru","Data source","All types","2.44","2.44","2.44","2.44","2.44","2.44","2.44","3.50","4.25","4.44"
"Nepal","Data source","All types","0.36","0.36","0.35","0.33","0.24","0.24","0.28","0.26","0.25","0.23"
"Netherlands","Data source","All types","8.23","8.33","8.31","8.29","8.30","8.38","8.59","9.00","8.95","9.34"
"New Zealand","Data source","All types","9.17","9.12","9.06","9.02","8.68","8.98","9.12","9.17","9.45","9.62"
"Nicaragua","Data source","All types","3.69","3.77","3.87","3.80","3.72","3.54","3.55","3.60","3.34","3.33"
"Niger","Data source","All types","0.11","0.11","0.11","0.12","0.12","0.12","0.09","0.15","0.13","0.11"
"Nigeria","Data source","All types","4.49","4.45","4.41","4.43","4.51","4.45","4.45","4.73","4.99","5.22"
"Niue","Data source","All types","8.50","8.50","8.50","8.61","8.21","7.81","8.01","9.00","6.81","4.59"
"Norway","Data source","All types","6.05","6.02","6.00","6.03","5.97","6.06","6.21","6.21","6.44","6.59"
"Oman","Data source","All types","0.47","0.48","0.47","0.45","0.45","0.42","0.44","0.49","0.50","0.51"
"Pakistan","Data source","All types","0.04","0.05","0.04","0.04","0.04","0.04","0.03","0.03","0.04","0.04"
"Panama","Data source","All types","6.54","6.56","6.79","6.61","6.84","6.30","6.21","6.21","6.16","6.10"
"Papua New Guinea","Data source","All types","1.26","1.26","1.37","1.34","1.36","1.35","0.81","0.94","0.81","0.73"
"Paraguay","Data source","All types","5.47","5.54","5.49","5.34","5.21","5.39","5.62","5.80","6.14","6.27"
"Peru","Data source","All types","5.74","5.74","5.79","5.64","5.68","5.51","5.27","5.35","5.22","5.23"
"Philippines","Data source","All types","4.85","4.91","4.75","4.53","4.52","4.61","4.61","4.96","4.85","4.73"
"Poland","Data source","All types","10.96","10.62","10.53","10.43","10.47","10.45","10.80","10.21","10.24","10.07"
"Portugal","Data source","All types","10.37","10.37","10.37","10.37","10.34","10.20","9.52","9.76","10.86","11.26"
"Qatar","Data source","All types","0.96","0.99","1.00","1.01","1.03","1.01","1.03","1.03","1.05","1.07"
"Republic of Korea","Data source","All types","7.74","7.74","7.31","7.94","8.27","8.03","8.77","8.98","8.86","8.90"
"Republic of Moldova","Data source","All types","7.45","7.45","7.44","7.22","6.76","7.40","8.48","8.30","8.21","6.92"
"North Macedonia","Data source","All types","3.90","3.89","3.77","3.63","3.57","3.56","3.61","3.54","3.52","3.53"
"Romania","Data source","All types","10.96","10.96","10.14","9.57","9.45","9.48","9.65","9.66","9.58","10.01"
"Russian Federation","Data source","All types","7.29","7.28","7.15","7.73","8.06","8.86","9.77","10.56","10.75","10.82"
"Rwanda","Data source","All types","6.35","6.35","6.33","6.27","6.31","6.50","6.15","6.43","6.66","7.13"
"Saint Kitts and Nevis","Data source","All types","8.84","8.72","8.71","8.56","8.37","8.49","8.39","8.43","8.51","8.51"
"Saint Lucia","Data source","All types","9.30","9.30","9.67","9.43","9.23","9.18","8.93","9.62","9.94","10.33"
"Saint Vincent and the Grenadines","Data source","All types","7.48","7.51","7.81","7.78","7.41","7.12","6.96","6.81","7.04","7.19"
"Samoa","Data source","All types","2.18","2.18","2.06","2.29","2.10","2.05","1.84","2.10","2.10","2.96"
"Sao Tome and Principe","Data source","All types","4.23","4.33","4.33","4.74","5.00","5.63","5.40","5.65","6.31","5.00"
"Saudi Arabia","Data source","All types","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Senegal","Data source","All types","0.25","0.25","0.23","0.23","0.19","0.19","0.19","0.19","0.21","0.18"
"Serbia","Data source","All types","7.45","7.62","7.40","7.31","7.20","7.19","7.94","8.78","8.55","8.87"
"Seychelles","Data source","All types","9.48","9.36","8.88","8.93","8.70","8.44","8.32","8.89","7.83","5.54"
"Sierra Leone","Data source","All types","3.22","3.22","3.20","3.03","3.06","3.04","3.12","3.19","3.41","3.48"
"Singapore","Data source","All types","1.81","1.85","1.80","1.84","1.82","1.84","1.86","1.94","1.89","1.84"
"Slovakia","Data source","All types","10.30","10.05","9.69","9.91","10.27","10.26","9.90","10.14","10.27","10.16"
"Slovenia","Data source","All types","11.05","9.99","10.12","10.51","11.49","10.92","9.53","10.95","10.61","10.33"
"Solomon Islands","Data source","All types","1.19","1.18","1.23","1.29","1.01","0.95","0.94","0.97","1.03","1.09"
"Somalia","Data source","All types","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"South Africa","Data source","All types","7.21","7.19","7.34","7.26","7.20","7.21","7.21","7.22","7.17","7.07"
"Spain","Data source","All types","10.73","10.39","10.85","10.81","10.35","7.85","8.55","8.60","8.74","8.94"
"Sri Lanka","Data source","All types","2.58","2.58","2.58","2.65","2.72","2.45","2.65","2.89","3.03","2.31"
"Suriname","Data source","All types","6.60","5.97","5.86","5.69","4.75","5.39","5.84","5.79","5.69","5.27"
"Sweden","Data source","All types","7.10","7.20","7.04","7.15","7.13","7.20","7.32","7.23","7.31","7.38"
"Switzerland","Data source","All types","9.41","9.17","9.16","9.28","9.62","","","","",""
"Switzerland","Data source","All types","","","","","","9.62","9.74","9.87","9.99","10.01"
"Syrian Arab Republic","Data source","All types","0.13","0.16","0.12","0.18","0.23","0.19","0.15","0.21","0.60","0.77"
"Tajikistan","Data source","All types","0.85","0.86","0.89","0.88","0.92","0.83","0.80","0.77","0.71","0.68"
"Thailand","Data source","All types","6.86","5.99","7.33","7.12","6.95","6.91","6.89","7.10","6.61","6.19"
"Timor-Leste","Data source","All types","0.41","0.42","0.42","0.44","0.41","0.41","0.48","0.48","0.44","0.10"
"Togo","Data source","All types","1.40","1.40","1.37","1.29","1.36","1.25","1.21","1.13","1.12","1.26"
"Tonga","Data source","All types","0.31","0.31","0.32","0.32","0.23","0.28","0.22","0.22","0.93","1.24"
"Trinidad and Tobago","Data source","All types","5.81","5.69","5.58","5.72","5.97","5.90","5.85","5.89","5.79","5.79"
"Tunisia","Data source","All types","1.51","1.49","1.54","1.54","1.50","1.48","1.40","1.35","1.25","1.26"
"Turkey","Data source","All types","1.18","1.18","1.29","1.22","1.32","1.39","1.33","1.47","1.47","1.42"
"Turkmenistan","Data source","All types","2.88","2.95","3.17","3.32","3.36","3.24","3.18","3.00","2.88","2.90"
"Tuvalu","Data source","All types","0.93","0.93","0.93","0.98","1.42","1.82","1.56","1.86","1.31","0.97"
"Uganda","Data source","All types","6.82","6.98","6.99","6.94","7.44","7.25","8.12","8.79","8.79","8.55"
"Ukraine","Data source","All types","5.69","5.44","5.13","5.72","6.04","7.58","8.73","8.54","8.74","7.77"
"United Arab Emirates","Data source","All types","2.03","2.12","2.16","2.16","2.12","2.00","1.86","1.78","1.75","1.69"
"United Kingdom of Great Britain and Northern Ireland","Data source","All types","9.80","10.01","9.88","9.69","9.59","9.45","9.42","9.53","9.80","10.01"
"United Republic of Tanzania","Data source","All types","7.81","7.78","7.80","7.93","7.86","7.43","6.71","6.22","7.09","6.95"
"United States of America","Data source","All types","8.93","8.93","8.89","8.89","8.78","8.78","8.81","8.85","8.66","8.56"
"Uruguay","Data source","All types","5.42","6.21","5.76","5.53","6.00","6.15","6.42","6.55","6.02","5.99"
"Uzbekistan","Data source","All types","2.45","2.44","2.79","2.40","2.59","2.50","1.95","1.95","1.73","1.74"
"Vanuatu","Data source","All types","1.60","1.63","1.63","1.51","1.42","1.39","1.61","1.84","1.82","1.36"
"Venezuela (Bolivarian Republic of)","Data source","All types","2.51","2.64","3.35","4.13","6.21","6.60","6.84","6.80","6.88","7.40"
"Viet Nam","Data source","All types","3.41","3.44","3.26","3.15","2.98","2.78","2.68","2.57","2.46","2.26"
"Yemen","Data source","All types","0.02","0.02","0.02","0.02","0.03","0.03","0.04","0.04","0.04","0.06"
"Zambia","Data source","All types","3.82","3.70","3.61","3.52","3.50","4.22","2.98","2.78","2.79","2.79"
"Zimbabwe","Data source","All types","3.11","3.10","3.82","3.76","3.84","4.22","4.11","3.93","3.91","3.38"
