,"Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)","Mortality rate attributed to unintentional poisoning (per 100 000 population)"
,"2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Australia","0.1 [0.1-0.2]","0.1 [0.1-0.2]","0.1 [0.1-0.2]","0.1 [0.1-0.2]","0.1 [0.1-0.2]","0.2 [0.1-0.2]","0.2 [0.2-0.3]","0.2 [0.1-0.2]","0.2 [0.2-0.3]","0.2 [0.1-0.2]","0.1 [0.1-0.2]","0.2 [0.1-0.2]","0.2 [0.1-0.3]","0.2 [0.2-0.3]","0.3 [0.2-0.4]","0.4 [0.3-0.5]","0.4 [0.3-0.5]","0.3 [0.2-0.4]","0.3 [0.2-0.4]","0.4 [0.3-0.5]"
"Austria","0.2 [0.1-0.2]","0.1 [0.0-0.1]","0.1 [0.1-0.2]","0.1 [0.1-0.2]","0.1 [0.1-0.2]","0.2 [0.1-0.2]","0.2 [0.1-0.2]","0.2 [0.2-0.3]","0.2 [0.2-0.3]","0.3 [0.2-0.4]","0.2 [0.2-0.3]","0.2 [0.2-0.3]","0.4 [0.3-0.5]","0.3 [0.2-0.4]","0.2 [0.1-0.2]","0.1 [0.1-0.2]","0.2 [0.1-0.3]","0.2 [0.1-0.3]","0.2 [0.1-0.2]","0.2 [0.1-0.3]"
"Azerbaijan","0.9 [0.4-1.8]","0.9 [0.4-1.8]","0.9 [0.4-1.8]","0.9 [0.4-1.7]","0.9 [0.4-1.8]","0.9 [0.4-1.8]","0.9 [0.4-1.8]","1.0 [0.4-1.8]","1.0 [0.5-1.8]","1.0 [0.5-1.8]","1.0 [0.5-1.8]","1.0 [0.5-1.8]","1.0 [0.5-1.8]","1.0 [0.5-1.8]","1.0 [0.5-1.8]","1.0 [0.5-1.7]","1.0 [0.6-1.7]","1.1 [0.6-1.8]","1.1 [0.7-1.9]","1.3 [0.8-2.1]"
"Bahamas","0.2 [0.1-0.2]","0.2 [0.1-0.3]","0.2 [0.1-0.2]","0.2 [0.1-0.3]","0.2 [0.1-0.2]","0.2 [0.1-0.2]","0.2 [0.1-0.2]","0.2 [0.1-0.3]","0.2 [0.1-0.3]","0.2 [0.1-0.3]","0.2 [0.1-0.3]","0.2 [0.1-0.2]","0.2 [0.1-0.3]","0.2 [0.2-0.3]","0.2 [0.2-0.3]","0.2 [0.2-0.3]","0.2 [0.1-0.2]","0.2 [0.1-0.3]","0.2 [0.2-0.3]","0.2 [0.2-0.3]"
"Bahrain","0.3 [0.1-0.4]","0.2 [0.1-0.4]","0.2 [0.1-0.4]","0.2 [0.1-0.4]","0.2 [0.1-0.3]","0.2 [0.1-0.3]","0.2 [0.1-0.3]","0.2 [0.1-0.4]","0.2 [0.1-0.3]","0.2 [0.1-0.3]","0.2 [0.1-0.3]","0.2 [0.1-0.3]","0.2 [0.1-0.3]","0.2 [0.1-0.3]","0.2 [0.1-0.4]","0.2 [0.1-0.3]","0.2 [0.1-0.4]","0.2 [0.1-0.4]","0.2 [0.2-0.4]","0.2 [0.1-0.3]"
"Bangladesh","0.3 [0.1-0.7]","0.3 [0.1-0.6]","0.3 [0.1-0.6]","0.3 [0.1-0.6]","0.3 [0.1-0.5]","0.3 [0.1-0.5]","0.2 [0.1-0.5]","0.3 [0.1-0.5]","0.3 [0.1-0.4]","0.3 [0.1-0.5]","0.3 [0.1-0.5]","0.3 [0.2-0.5]","0.3 [0.2-0.5]","0.3 [0.1-0.5]","0.3 [0.1-0.5]","0.3 [0.1-0.4]","0.3 [0.1-0.5]","0.3 [0.1-0.5]","0.3 [0.1-0.5]","0.3 [0.2-0.6]"
"Barbados","0.7 [0.5-1.0]","0.7 [0.5-1.0]","0.6 [0.4-0.9]","0.6 [0.4-0.9]","0.6 [0.4-0.8]","0.6 [0.4-0.8]","0.3 [0.2-0.5]","0.5 [0.3-0.6]","0.8 [0.6-1.1]","0.7 [0.5-1.0]","0.5 [0.4-0.6]","0.2 [0.2-0.3]","0.0 [0.0-0.0]","0.0 [0.0-0.0]","0.1 [0.1-0.1]","0.1 [0.1-0.2]","0.3 [0.2-0.4]","0.2 [0.1-0.2]","0.2 [0.1-0.3]","0.0 [0.0-0.0]"
"Belarus","3.3 [2.0-4.9]","3.4 [2.1-4.9]","3.4 [2.2-4.8]","3.5 [2.4-4.9]","3.5 [2.4-4.9]","3.8 [2.5-5.3]","3.9 [2.7-5.5]","4.1 [2.7-5.6]","4.6 [3.1-6.4]","4.8 [3.3-6.6]","4.6 [3.2-6.3]","4.7 [3.3-6.4]","5.4 [3.9-7.3]","6.4 [4.6-8.5]","7.2 [5.2-9.5]","7.4 [5.5-9.6]","7.9 [6.0-10.2]","8.5 [6.6-10.8]","8.4 [6.8-10.4]","8.1 [6.6-9.9]"
"Belgium","0.4 [0.3-0.5]","0.4 [0.3-0.5]","0.4 [0.3-0.5]","0.3 [0.2-0.4]","0.4 [0.3-0.6]","0.4 [0.3-0.5]","0.4 [0.3-0.5]","0.4 [0.3-0.5]","0.5 [0.3-0.6]","0.6 [0.4-0.8]","0.4 [0.3-0.5]","0.5 [0.3-0.6]","0.4 [0.3-0.5]","0.4 [0.3-0.5]","0.5 [0.4-0.6]","0.6 [0.4-0.8]","0.4 [0.3-0.6]","0.5 [0.4-0.7]","0.6 [0.4-0.8]","0.5 [0.4-0.7]"
"Belize","0.4 [0.2-0.5]","0.3 [0.2-0.5]","0.4 [0.2-0.5]","0.3 [0.2-0.4]","0.3 [0.2-0.4]","0.3 [0.2-0.4]","0.3 [0.2-0.5]","0.4 [0.2-0.5]","0.4 [0.3-0.5]","0.4 [0.3-0.6]","0.4 [0.3-0.6]","0.3 [0.2-0.4]","0.4 [0.3-0.5]","0.5 [0.3-0.6]","0.5 [0.3-0.7]","0.6 [0.4-0.8]","0.6 [0.4-0.8]","0.7 [0.5-0.9]","0.6 [0.5-0.9]","0.9 [0.6-1.2]"
