,,,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Ecuador","Data source","All types","4.20","4.12","3.99","3.88","3.90","4.09","4.04","3.98","4.19","4.01"
"Egypt","Data source","All types","0.19","0.21","0.19","0.17","0.15","0.14","0.14","0.14","0.13","0.14"
"El Salvador","Data source","All types","2.48","2.59","2.73","2.67","2.68","2.78","2.91","2.85","2.76","2.65"
"Equatorial Guinea","Data source","All types","7.20","7.71","8.31","8.70","7.82","8.11","7.87","7.12","6.79","6.70"
"Eritrea","Data source","All types","0.85","0.66","1.75","1.29","1.18","0.72","0.62","0.89","0.67","0.88"
"Estonia","Data source","All types","14.66","16.61","17.47","17.87","16.58","15.52","11.64","12.16","10.10","9.03"
"Eswatini","Data source","All types","5.65","5.64","6.34","6.26","5.05","5.76","5.62","5.51","6.70","6.80"
"Ethiopia","Data source","All types","0.32","0.32","0.31","0.29","0.21","0.21","0.14","0.16","0.20","0.19"
"Fiji","Data source","All types","2.32","1.96","2.10","2.07","2.03","2.05","2.07","2.27","2.35","2.46"
"Finland","Data source","All types","9.96","10.26","10.45","10.15","9.95","9.89","9.31","9.25","8.94","8.88"
"France","Data source","All types","12.66","12.53","12.95","13.05","12.88","13.14","13.45","13.92","14.15","13.92"
"Gabon","Data source","All types","8.12","8.31","8.65","7.77","7.56","8.02","6.41","8.29","9.27","8.89"
"Gambia","Data source","All types","3.05","2.98","3.19","3.25","3.31","3.56","3.63","3.37","3.28","3.16"
"Georgia","Data source","All types","6.26","7.27","6.89","5.69","4.36","2.89","2.79","2.74","2.77","3.29"
"Germany","Data source","All types","11.23","11.37","11.51","11.76","11.68","11.83","11.92","12.25","12.46","12.91"
"Ghana","Data source","All types","1.26","1.26","0.67","0.65","0.56","0.55","1.91","1.95","1.85","1.95"
"Greece","Data source","All types","8.32","8.73","8.89","8.68","9.15","9.10","8.91","8.22","8.75","8.60"
"Grenada","Data source","All types","8.55","9.04","9.14","9.26","8.85","8.68","9.89","10.99","9.77","9.21"
"Guatemala","Data source","All types","2.03","2.10","2.36","2.36","2.34","2.38","2.34","2.30","2.41","2.52"
"Guinea","Data source","All types","0.19","0.21","0.19","0.15","0.20","0.34","0.18","0.21","0.17","0.18"
"Guinea-Bissau","Data source","All types","2.89","3.01","3.22","3.48","3.69","3.56","3.07","2.60","2.75","3.02"
"Guyana","Data source","All types","5.87","5.83","5.73","5.68","5.84","8.65","8.75","8.47","7.36","6.82"
"Haiti","Data source","All types","3.53","3.49","3.44","3.51","3.49","3.58","3.56","3.65","3.62","3.63"
"Honduras","Data source","All types","2.76","2.85","2.94","3.03","3.02","2.83","2.87","2.92","2.61","2.47"
"Hungary","Data source","All types","11.52","11.75","12.54","13.25","12.95","13.28","13.24","13.28","13.18","12.23"
"Iceland","Data source","All types","7.24","7.19","7.53","7.20","7.05","6.71","6.52","6.53","6.32","6.14"
"India","Data source","All types","2.46","1.92","1.57","1.35","1.25","1.18","1.17","1.08","0.98","0.93"
"Indonesia","Data source","All types","0.07","0.07","0.06","0.06","0.06","0.05","0.05","0.05","0.06","0.06"
"Iran (Islamic Republic of)","Data source","All types","0.03","0.03","0.02","0.02","0.01","0.01","0.01","0.01","0.01","0.01"
"Iraq","Data source","All types","0.20","0.17","0.15","0.03","0.18","0.33","0.08","0.17","0.19","0.22"
"Ireland","Data source","All types","10.93","12.18","13.17","13.12","13.06","13.11","13.04","13.95","14.04","13.84"
"Israel","Data source","All types","2.67","2.59","2.46","2.30","2.46","2.44","2.58","2.79","2.83","2.58"
"Italy","Data source","All types","7.25","7.96","8.37","8.44","8.65","8.98","9.30","9.25","9.68","9.78"
"Jamaica","Data source","All types","3.24","3.35","3.31","3.35","3.36","3.32","3.43","3.61","3.72","3.77"
"Japan","Data source","All types","6.98","7.06","7.28","7.48","7.98","7.69","7.82","7.86","8.01","7.96"
"Jordan","Data source","All types","0.56","0.58","0.56","0.55","0.51","0.50","0.50","0.51","0.52","0.47"
"Kazakhstan","Data source","All types","3.16","3.42","3.99","6.76","6.57","6.23","6.22","5.78","5.55","5.81"
"Kenya","Data source","All types","1.17","1.32","1.20","0.86","0.88","0.69","1.50","1.67","1.64","1.51"
"Kiribati","Data source","All types","0.54","0.46","0.55","0.69","0.61","0.49","0.44","0.51","0.71","0.56"
"Kuwait","Data source","All types","0.10","0.03","0.03","0.01","0.01","0.02","0.01","0.01","0.01","0.01"
"Kyrgyzstan","Data source","All types","5.98","7.29","6.98","6.78","6.52","6.65","6.35","5.84","5.70","5.33"
"Lao People's Democratic Republic","Data source","All types","5.25","5.15","5.03","3.71","3.69","3.54","3.43","3.35","3.14","5.19"
"Latvia","Data source","All types","9.85","11.84","12.12","10.40","9.92","8.81","8.24","7.44","6.68","7.13"
"Lebanon","Data source","All types","1.53","1.57","1.59","1.65","1.73","1.87","1.96","2.06","2.32","2.37"
"Lesotho","Data source","All types","2.92","2.91","2.85","2.77","1.94","1.78","1.97","2.93","2.85","3.09"
