,"Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)","Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%)"
"Bhutan","97","97","98","98","99","99","97","97","95","91","93","96","95","95","95","89","95","86","88","92","90","86","87","87","87","86","79","86","91","96","76","70","63","53","41","28","16","15","13","6"
"Bolivia (Plurinational State of)","75","83","84","87","89","85","87","93","95","91","93","88","84","83","85","84","88","77","71","75","77","61","58","61","64","58","52","45","43","41","52","28","35","42","33","6","10","12","13","11"
"Bosnia and Herzegovina","73","73","75","78","82","86","89","92","88","89","90","91","95","87","93","84","87","80","91","85","90","89","79","67","55","82","38","58","","","","","","","","","","","",""
"Botswana","95","95","95","95","95","95","95","95","95","95","96","96","96","96","96","96","96","97","97","97","97","98","96","96","95","94","94","94","93","92","92","88","88","86","84","83","82","82","75","71"
"Brazil","73","87","89","89","96","93","97","95","99","99","99","99","99","99","99","99","99","99","98","98","94","93","79","77","81","74","75","71","78","66","56","58","58","58","66","68","60","56","47","37"
"Brunei Darussalam","99","99","99","99","99","99","99","95","97","95","99","98","99","97","94","92","92","94","97","99","92","97","99","99","99","99","99","96","95","93","91","89","85","86","88","96","85","99","94","89"
"Bulgaria","92","92","92","92","91","88","95","95","95","94","94","95","95","95","96","95","96","93","94","93","96","95","94","95","96","93","98","98","99","99","99","99","99","99","99","99","99","99","99","98"
"Burkina Faso","91","91","91","91","91","91","88","90","91","91","92","93","89","86","82","79","79","69","62","45","15","15","39","37","34","36","39","39","53","66","44","34","23","19","9","","","","",""
"Burundi","93","90","91","94","94","95","96","96","96","96","94","92","99","92","87","83","82","81","81","80","79","65","74","73","73","48","63","80","83","86","82","51","68","55","36","26","44","33","36",""
"Cabo Verde","96","98","96","96","93","95","93","94","90","99","99","99","98","96","95","93","92","91","90","90","89","88","87","88","88","89","89","88","87","88","99","88","92","54","39","31","23","","",""
"Cambodia","92","92","93","93","92","91","86","90","91","90","94","91","82","80","82","85","69","54","60","59","53","47","46","43","39","37","35","32","38","38","47","45","37","37","23","17","","","",""
"Cameroon","67","67","74","75","78","83","89","85","82","84","80","84","82","81","80","73","73","66","63","62","59","56","48","46","46","38","37","37","42","48","56","50","44","39","33","27","25","15","5",""
"Canada","91","91","91","91","91","91","91","91","87","89","91","92","94","95","93","91","91","88","89","89","90","90","86","90","87","93","90","89","88","88","87","86","85","","","","","","",""
"Central African Republic","47","47","47","47","47","47","23","47","47","45","42","45","48","51","54","51","47","44","40","37","33","43","43","48","53","48","47","45","64","82","64","42","22","19","20","17","16","14","11","13"
"Chad","50","46","41","41","42","36","39","40","33","39","24","19","28","40","25","21","23","25","26","36","45","35","24","20","18","18","13","10","18","20","20","14","14","10","3","3","1","","",""
"Chile","96","95","93","95","96","95","91","90","94","92","94","95","96","94","91","93","96","97","97","91","95","90","90","91","94","94","90","90","94","95","95","96","93","90","99","99","89","99","99","93"
"China","99","99","99","99","99","99","99","99","99","99","99","97","93","93","87","87","86","86","86","85","85","84","84","83","80","85","88","91","94","97","95","95","75","78","78","73","58","","",""
"Colombia","92","92","92","91","91","90","91","91","85","88","92","92","93","93","93","89","92","81","80","79","74","73","84","85","85","85","88","78","84","88","78","74","58","48","61","61","42","26","20","16"
"Comoros","91","91","91","91","91","87","87","86","83","74","83","81","75","69","68","76","80","89","70","70","73","75","48","60","75","58","70","38","52","94","82","43","71","71","51","31","","","",""
