"","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)","BCG immunization coverage among 1-year-olds (%)"
"Chad","75","50","59","59","70","58","60","62","52","58","46","30","44","56","41","41","40","46","52","49","45","45","45","39","43","43","34","34","40","59","59","38","32","24","15","8","","","",""
"Chile","98","96","96","97","93","98","98","92","91","95","95","99","98","98","95","95","95","96","98","93","95","92","92","99","97","99","97","99","99","94","97","98","97","96","96","95","92","94","96","96"
"China","99","99","99","99","99","99","99","99","99","99","99","97","94","92","86","86","85","85","85","84","84","83","83","84","79","89","92","94","97","99","98","98","85","70","64","59","34","","",""
"Colombia","89","89","91","88","90","89","85","89","83","84","90","93","93","96","94","92","97","87","87","91","80","85","97","99","99","99","96","88","95","95","94","99","80","70","76","69","79","65","57","45"
"Comoros","94","94","94","94","94","90","85","79","78","76","80","81","77","84","80","79","79","90","90","90","87","84","55","55","95","94","95","81","71","99","95","72","97","97","77","56","","","",""
"Congo","80","81","76","80","85","95","92","92","95","95","90","93","86","84","73","85","60","51","53","50","39","34","29","51","58","61","63","75","89","90","90","88","87","86","89","80","90","91","","92"
"Cook Islands","99","99","99","99","99","99","98","98","98","99","99","99","99","99","99","99","99","98","98","99","97","98","85","90","96","99","94","94","96","99","94","90","89","87","99","60","74","59","44","29"
"Costa Rica","88","92","90","89","83","80","79","78","78","77","81","90","91","87","88","90","87","91","87","92","89","87","82","92","99","94","98","94","81","92","89","86","83","79","82","86","83","81","81","80"
"Côte d'Ivoire","93","95","93","95","80","85","85","93","76","79","95","91","94","77","85","71","78","79","80","80","74","71","73","68","69","75","74","70","65","62","47","52","53","41","29","17","","","",""
"Croatia","98","98","98","99","98","98","99","99","99","99","99","99","99","99","98","98","98","99","97","98","96","97","98","99","99","98","98","92","","","","","","","","","","","",""
"Cuba","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","97","98","98","98","98","99","96","98","98","97","96","97","97","99"
"Czechia","","","","","","","","","","","98","99","99","99","99","99","98","97","98","98","98","98","97","96","95","95","98","","","","","","","","","","","","",""
"Democratic People's Republic of Korea","96","96","98","97","97","98","98","98","98","98","98","97","96","96","94","95","88","96","82","78","73","69","64","73","82","90","99","99","99","99","99","98","69","53","51","49","52","51","52","50"
"Democratic Republic of the Congo","73","73","73","73","72","77","82","83","66","85","85","78","80","72","72","68","61","50","43","57","30","25","25","25","34","46","43","32","21","65","55","59","57","51","57","62","65","62","61","57"
"Djibouti","95","93","92","90","92","99","86","87","89","90","90","90","90","88","80","71","63","52","38","34","26","35","43","51","51","51","51","51","66","81","80","87","42","38","37","36","36","5","",""
"Dominica","98","95","97","98","98","98","97","98","98","99","99","98","90","99","98","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","98","98","87","90","84","99","48","57","65"
"Dominican Republic","99","99","99","99","99","99","99","99","99","98","96","92","92","95","96","97","95","97","98","90","99","86","88","79","90","86","82","78","74","70","63","60","57","54","51","43","41","38","34","29"
"Ecuador","86","90","88","84","88","89","90","94","98","98","99","98","99","99","99","99","99","99","99","99","99","98","99","99","99","99","99","99","82","89","91","92","85","94","99","99","85","99","82","76"
"Egypt","96","95","86","96","96","96","98","95","98","98","98","98","98","99","98","98","98","98","98","98","98","99","98","95","93","95","95","92","92","89","83","80","72","77","80","53","53","50","50","50"
